x,y,V
15,11.5,4.96
15,10.5,4.931
15,9.5,4.856
15,8.5,4.716
15,7.5,4.582
15,6.5,4.417
15,5.5,4.235
15,4.5,4.033
15,3.5,3.787
15,2.5,3.661
14,11.5,4.983
14,10.5,4.792
14,9.5,4.855
14,8.5,4.741
14,7.5,4.581
14,6.5,4.412
14,5.5,4.239
14,4.5,4.049
14,3.5,3.814
14,2.5,3.622
13,11.5,5.112
13,10.5,5.092
13,9.5,5.021
13,8.5,4.884
13,7.5,4.729
13,6.5,4.543
13,5.5,4.286
13,4.5,4.047
13,3.5,3.802
13,2.5,3.56
12,11.5,5.33
12,10.5,5.228
12,9.5,5.299
12,8.5,5.219
12,7.5,5.099
12,6.5,4.678
12,5.5,4.386
12,4.5,4.119
12,3.5,3.794
12,2.5,3.703
11,11.5,5.835
11,10.5,5.871
11,9.5,5.841
11,8.5,5.849
11,7.5,5.843
11,6.5,5.624
11,5.5,5.24
11,4.5,4.772
11,3.5,3.848
11,2.5,3.422
10,11.5,6.108
10,10.5,6.159
10,9.5,6.238
10,8.5,0
10,7.5,0
10,6.5,6.692
10,5.5,5.046
10,4.5,4.412
10,3.5,3.84
10,2.5,3.4
9,11.5,0
9,10.5,0
9,9.5,0
9,8.5,0
9,7.5,0
9,6.5,0
9,5.5,5.487
9,4.5,4.462
9,3.5,4.351
9,2.5,3.341
8,11.5,0
8,10.5,0
8,9.5,0
8,8.5,0
8,7.5,0
8,6.5,0
8,5.5,5.617
8,4.5,4.64
8,3.5,3.916
8,2.5,0
7,11.5,0
7,10.5,0
7,9.5,0
7,8.5,0
7,7.5,0
7,6.5,0
7,5.5,5.496
7,4.5,4.604
7,3.5,3.906
7,2.5,3.388
6,11.5,5.527
6,10.5,6.179
6,9.5,6.183
6,8.5,0
6,7.5,0
6,6.5,0
6,5.5,5.099
6,4.5,4.435
6,3.5,3.861
6,2.5,3.174
5,11.5,5.885
5,10.5,5.897
5,9.5,5.91
5,8.5,5.29
5,7.5,5.294
5,6.5,5.25
5,5.5,4.79
5,4.5,4.282
5,3.5,4.281
5,2.5,3.85
4,11.5,5.623
4,10.5,5.63
4,9.5,5.591
4,8.5,5.466
4,7.5,5.28
4,6.5,5.28
4,5.5,4.54
4,4.5,4.142
4,3.5,3.141
4,2.5,3.431
3,11.5,3.718
3,10.5,5.332
3,9.5,5.253
3,8.5,5.125
3,7.5,4.972
3,6.5,4.972
3,5.5,4.694
3,4.5,4.03
3,3.5,3.722
3,2.5,3.717
2,11.5,5.164
2,10.5,5.115
2,9.5,5.012
2,8.5,4.902
2,7.5,4.635
2,6.5,3.906
2,5.5,3.238
2,4.5,3.715
2,3.5,3.479
2,2.5,3.27
1,11.5,4.967
1,10.5,4.907
1,9.5,4.83
1,8.5,4.801
1,7.5,4.77
1,6.5,4.721
1,5.5,4.361
1,4.5,3.867
1,3.5,3.672
1,2.5,3.469
